# t, hp, hx
2.630953794700000015e-02 -2.451513109899999907e-03 -1.091120203999999960e-05
2.633329289300000153e-02 -2.851982377400000008e-03 -1.500816829000000053e-05
2.635705669400000006e-02 -2.978565607600000120e-03 -1.884383485600000098e-05
2.638081099099999841e-02 -2.887171792399999791e-03 -2.156014294600000104e-05
2.640457409899999927e-02 -2.620515180399999970e-03 -2.230947162200000105e-05
2.642833677800000142e-02 -2.260613907599999788e-03 -2.048653994700000045e-05
2.645210093200000070e-02 -1.917327371799999996e-03 -1.615308406700000031e-05
2.647586353099999970e-02 -1.601380117099999957e-03 -9.558653455099999749e-06
2.649962926099999963e-02 -1.333234885700000085e-03 -1.145784816800000047e-06
2.652340048899999927e-02 -1.094355178999999916e-03 8.286075044499999163e-06
2.654716727100000020e-02 -9.123503340100000284e-04 1.781074261300000073e-05
2.657094214800000131e-02 -8.365643741600000023e-04 2.640814539800000104e-05
2.659471254700000037e-02 -8.596914267800000045e-04 3.310313358600000040e-05
2.661848385299999883e-02 -1.004769259199999980e-03 3.728986811799999996e-05
2.664225416899999865e-02 -1.273255649300000097e-03 3.868523662500000294e-05
2.666602469100000025e-02 -1.645435400700000087e-03 3.732322866999999701e-05
2.668979599899999958e-02 -2.107191877099999847e-03 3.362426827500000201e-05
2.671356250599999857e-02 -2.561214665900000097e-03 2.826489576200000157e-05
2.673732748299999934e-02 -2.845924315499999933e-03 2.205670077099999876e-05
2.676108863400000065e-02 -2.899586932599999833e-03 1.570039553999999998e-05
2.678484912400000070e-02 -2.758219062299999916e-03 9.926982094500000632e-06
2.680860622299999912e-02 -2.460765377900000096e-03 4.911465039600000264e-06
2.683236992000000154e-02 -2.114432084200000127e-03 4.395392727500000126e-07
2.685612604500000125e-02 -1.786232928499999987e-03 -3.408118670000000206e-06
2.687988547899999858e-02 -1.491524264300000003e-03 -6.658376233399999593e-06
2.690364468699999942e-02 -1.250266055500000089e-03 -9.335371548400000442e-06
2.692740532399999845e-02 -1.061187956900000104e-03 -1.142900534999999947e-05
2.695116425200000040e-02 -9.452434459900000471e-04 -1.296859113200000025e-05
2.697492525399999841e-02 -8.915932619499999804e-04 -1.400160643000000058e-05
2.699868797500000125e-02 -8.797250088300000289e-04 -1.461800412700000073e-05
2.702200329299999856e-02 -9.286046037899999602e-04 -1.485285603000000050e-05
2.704576120500000111e-02 -1.044703871099999983e-03 -1.468976607199999927e-05
2.706952518300000110e-02 -1.232959098400000005e-03 -1.423801203799999972e-05
2.709328935300000032e-02 -1.512275849800000108e-03 -1.362711157000000062e-05
2.711705121799999965e-02 -1.900237430600000034e-03 -1.291040035100000020e-05
2.714081887700000098e-02 -2.360614909200000038e-03 -1.202892468999999971e-05
2.716458615599999862e-02 -2.749032676700000066e-03 -1.079653664999999964e-05
2.718835287199999895e-02 -2.934649606800000116e-03 -9.028488314300000224e-06
2.721211508900000034e-02 -2.901277427500000092e-03 -6.692710942200000132e-06
2.723587460999999862e-02 -2.689953837500000042e-03 -3.989491132000000108e-06
2.725963331299999931e-02 -2.378379645500000149e-03 -1.107549321099999929e-06
2.728338973599999870e-02 -2.065538420499999847e-03 1.867633067200000053e-06
2.730714734500000115e-02 -1.770921698199999939e-03 4.750404994299999996e-06
2.733090544399999905e-02 -1.506225497500000106e-03 7.383075702300000264e-06
2.735466589800000098e-02 -1.285744751499999939e-03 9.708130515400000411e-06
2.737842306399999870e-02 -1.124008716099999953e-03 1.167760782600000002e-05
2.740218448800000109e-02 -1.044539837800000093e-03 1.327625153699999927e-05
2.742594439900000042e-02 -1.014636595499999972e-03 1.448899554399999961e-05
2.744970157900000068e-02 -1.024762594500000035e-03 1.526523036599999853e-05
2.747345650599999911e-02 -1.077194256499999911e-03 1.555573133999999975e-05
2.749721146099999916e-02 -1.144912127399999938e-03 1.527932898699999978e-05
2.752097212000000070e-02 -1.257127646599999916e-03 1.438057178899999921e-05
2.754472990600000115e-02 -1.460727328800000020e-03 1.286992301300000059e-05
2.756849341199999956e-02 -1.740841522499999997e-03 1.078768138499999978e-05
2.759225445400000087e-02 -2.083078696400000093e-03 8.231104965200000537e-06
2.761601581100000050e-02 -2.414305928900000158e-03 5.309346714799999726e-06
2.763977108800000013e-02 -2.615874907600000167e-03 2.013303920399999968e-06
2.766353075499999870e-02 -2.647635015899999812e-03 -1.568029641500000069e-06
2.768729246600000124e-02 -2.528311373599999995e-03 -4.988709393300000293e-06
2.771105190100000074e-02 -2.297936137200000048e-03 -8.119965784999999206e-06
2.773480761699999991e-02 -2.035298324799999885e-03 -1.096249490399999980e-05
2.775856371400000147e-02 -1.771078499000000106e-03 -1.327054836300000046e-05
2.778232038299999901e-02 -1.536742459499999911e-03 -1.495437512899999938e-05
2.780607358599999912e-02 -1.342405120199999984e-03 -1.595095454600000033e-05
2.782982994600000093e-02 -1.191071932900000015e-03 -1.621099946899999997e-05
2.785359537899999988e-02 -1.102609089900000042e-03 -1.576660249099999978e-05
2.787735958500000069e-02 -1.056529955499999930e-03 -1.467393584300000076e-05
2.790112879099999887e-02 -1.052964117400000078e-03 -1.297505400499999957e-05
2.792489811499999919e-02 -1.060419391400000029e-03 -1.086412420199999937e-05
2.794867076600000139e-02 -1.075638941699999952e-03 -8.529803503199999464e-06
2.797243588000000031e-02 -1.107865234299999953e-03 -6.068684308600000295e-06
2.799620127500000027e-02 -1.145852330100000007e-03 -3.639800295000000192e-06
2.801965939200000075e-02 -1.223954191200000031e-03 -1.350927995899999896e-06
2.804341056900000115e-02 -1.370807679599999902e-03 6.471881085900000378e-07
2.806717362399999832e-02 -1.584923045500000053e-03 2.360683036099999851e-06
2.809093837499999913e-02 -1.857231277600000048e-03 3.783349612400000115e-06
2.811470095399999994e-02 -2.114116635899999843e-03 4.966695089599999704e-06
2.813846160899999976e-02 -2.279182037799999932e-03 6.047477521500000372e-06
2.816222291899999827e-02 -2.331407621500000086e-03 7.061270232400000365e-06
2.818598190700000172e-02 -2.247338153799999846e-03 7.964166879400000026e-06
2.820974165300000128e-02 -2.059154268999999898e-03 8.873033985999999833e-06
2.823350153700000115e-02 -1.821370530100000027e-03 9.860335185500000485e-06
2.825725983199999999e-02 -1.576517846399999936e-03 1.079690011300000064e-05
2.828101481899999992e-02 -1.350955282899999905e-03 1.164573490200000077e-05
2.830477354600000051e-02 -1.130421725000000082e-03 1.242572055699999939e-05
2.832853317899999834e-02 -9.508709466099999480e-04 1.305418948400000070e-05
2.835228575500000139e-02 -8.207418363699999983e-04 1.337043569899999993e-05
2.837604226000000132e-02 -7.162295903300000283e-04 1.324787417800000081e-05
2.839980149600000031e-02 -6.603238555400000502e-04 1.264770769399999937e-05
2.842356121899999866e-02 -6.704678528199999521e-04 1.159395264699999931e-05
2.844732425499999981e-02 -7.407282271400000189e-04 1.008807274200000046e-05
2.847108646799999948e-02 -8.666270276199999510e-04 8.156902571599999917e-06
2.849484829900000155e-02 -1.083441341599999897e-03 5.915785908200000031e-06
2.851860883899999879e-02 -1.419749584600000017e-03 3.507585270899999848e-06
2.854236498699999972e-02 -1.811075664000000047e-03 1.093950585199999967e-06
2.856612187299999855e-02 -2.130533869799999813e-03 -1.187523978100000087e-06
2.858988058399999921e-02 -2.293730187600000105e-03 -3.275079130999999993e-06
2.861363785199999912e-02 -2.291474797299999835e-03 -5.096278429999999703e-06
2.863739680299999882e-02 -2.144505341600000132e-03 -6.506770590899999976e-06
2.866115506900000082e-02 -1.893212126999999946e-03 -7.520656752100000368e-06
2.868491720200000081e-02 -1.615203000699999905e-03 -8.225710545800000068e-06
2.870867723000000010e-02 -1.346208989699999902e-03 -8.628502631200000116e-06
2.873243333199999860e-02 -1.100392067499999897e-03 -8.792599912199999723e-06
2.875619255800000024e-02 -8.867792226199999912e-04 -8.796763430600000770e-06
2.877995278700000090e-02 -7.306037098499999858e-04 -8.699127504900000559e-06
2.880370917200000130e-02 -6.430542725100000254e-04 -8.579259355200000796e-06
2.882746744800000066e-02 -5.936753714099999744e-04 -8.497827094799999332e-06
2.885122109099999901e-02 -5.858018248200000042e-04 -8.458031506400000190e-06
